 # xp yp zp bx by bz
 0.00000E+00 -0.40000E+00  0.00000E+00 -0.21539E-03  0.22063E-03  0.49820E-02
 0.13793E-01 -0.40000E+00  0.00000E+00 -0.22003E-03  0.24052E-03  0.54444E-02
 0.27586E-01 -0.40000E+00  0.00000E+00 -0.22361E-03  0.26183E-03  0.59428E-02
 0.41379E-01 -0.40000E+00  0.00000E+00 -0.22586E-03  0.28449E-03  0.64765E-02
 0.55172E-01 -0.40000E+00  0.00000E+00 -0.22653E-03  0.30840E-03  0.70435E-02
 0.68966E-01 -0.40000E+00  0.00000E+00 -0.22532E-03  0.33337E-03  0.76407E-02
 0.82759E-01 -0.40000E+00  0.00000E+00 -0.22198E-03  0.35915E-03  0.82635E-02
 0.96552E-01 -0.40000E+00  0.00000E+00 -0.21625E-03  0.38546E-03  0.89059E-02
 0.11034E+00 -0.40000E+00  0.00000E+00 -0.20793E-03  0.41194E-03  0.95605E-02
 0.12414E+00 -0.40000E+00  0.00000E+00 -0.19682E-03  0.43816E-03  0.10218E-01
 0.13793E+00 -0.40000E+00  0.00000E+00 -0.18281E-03  0.46368E-03  0.10869E-01
 0.15172E+00 -0.40000E+00  0.00000E+00 -0.16582E-03  0.48800E-03  0.11501E-01
 0.16552E+00 -0.40000E+00  0.00000E+00 -0.14585E-03  0.51059E-03  0.12101E-01
 0.17931E+00 -0.40000E+00  0.00000E+00 -0.12296E-03  0.53091E-03  0.12656E-01
 0.19310E+00 -0.40000E+00  0.00000E+00 -0.97290E-04  0.54839E-03  0.13150E-01
 0.20690E+00 -0.40000E+00  0.00000E+00 -0.69082E-04  0.56246E-03  0.13567E-01
 0.22069E+00 -0.40000E+00  0.00000E+00 -0.38683E-04  0.57256E-03  0.13891E-01
 0.23448E+00 -0.40000E+00  0.00000E+00 -0.65730E-05  0.57818E-03  0.14104E-01
 0.24828E+00 -0.40000E+00  0.00000E+00  0.26623E-04  0.57886E-03  0.14191E-01
 0.26207E+00 -0.40000E+00  0.00000E+00  0.60133E-04  0.57429E-03  0.14141E-01
 0.27586E+00 -0.40000E+00  0.00000E+00  0.93064E-04  0.56436E-03  0.13947E-01
 0.28966E+00 -0.40000E+00  0.00000E+00  0.12446E-03  0.54919E-03  0.13609E-01
 0.30345E+00 -0.40000E+00  0.00000E+00  0.15337E-03  0.52918E-03  0.13137E-01
 0.31724E+00 -0.40000E+00  0.00000E+00  0.17898E-03  0.50500E-03  0.12547E-01
 0.33103E+00 -0.40000E+00  0.00000E+00  0.20068E-03  0.47752E-03  0.11863E-01
 0.34483E+00 -0.40000E+00  0.00000E+00  0.21812E-03  0.44775E-03  0.11113E-01
 0.35862E+00 -0.40000E+00  0.00000E+00  0.23122E-03  0.41668E-03  0.10325E-01
 0.37241E+00 -0.40000E+00  0.00000E+00  0.24016E-03  0.38526E-03  0.95262E-02
 0.38621E+00 -0.40000E+00  0.00000E+00  0.24530E-03  0.35429E-03  0.87379E-02
 0.40000E+00 -0.40000E+00  0.00000E+00  0.24712E-03  0.32439E-03  0.79778E-02
 0.00000E+00 -0.38621E+00  0.00000E+00 -0.19708E-03  0.21336E-03  0.45254E-02
 0.13793E-01 -0.38621E+00  0.00000E+00 -0.20043E-03  0.23142E-03  0.49194E-02
 0.27586E-01 -0.38621E+00  0.00000E+00 -0.20275E-03  0.25062E-03  0.53408E-02
 0.41379E-01 -0.38621E+00  0.00000E+00 -0.20384E-03  0.27090E-03  0.57886E-02
 0.55172E-01 -0.38621E+00  0.00000E+00 -0.20349E-03  0.29213E-03  0.62607E-02
 0.68966E-01 -0.38621E+00  0.00000E+00 -0.20147E-03  0.31416E-03  0.67542E-02
 0.82759E-01 -0.38621E+00  0.00000E+00 -0.19756E-03  0.33676E-03  0.72652E-02
 0.96552E-01 -0.38621E+00  0.00000E+00 -0.19158E-03  0.35968E-03  0.77884E-02
 0.11034E+00 -0.38621E+00  0.00000E+00 -0.18335E-03  0.38261E-03  0.83177E-02
 0.12414E+00 -0.38621E+00  0.00000E+00 -0.17275E-03  0.40519E-03  0.88456E-02
 0.13793E+00 -0.38621E+00  0.00000E+00 -0.15969E-03  0.42703E-03  0.93639E-02
 0.15172E+00 -0.38621E+00  0.00000E+00 -0.14412E-03  0.44772E-03  0.98633E-02
 0.16552E+00 -0.38621E+00  0.00000E+00 -0.12605E-03  0.46682E-03  0.10333E-01
 0.17931E+00 -0.38621E+00  0.00000E+00 -0.10558E-03  0.48386E-03  0.10763E-01
 0.19310E+00 -0.38621E+00  0.00000E+00 -0.82848E-04  0.49838E-03  0.11142E-01
 0.20690E+00 -0.38621E+00  0.00000E+00 -0.58083E-04  0.50992E-03  0.11456E-01
 0.22069E+00 -0.38621E+00  0.00000E+00 -0.31608E-04  0.51804E-03  0.11694E-01
 0.23448E+00 -0.38621E+00  0.00000E+00 -0.38446E-05  0.52236E-03  0.11845E-01
 0.24828E+00 -0.38621E+00  0.00000E+00  0.24680E-04  0.52254E-03  0.11898E-01
 0.26207E+00 -0.38621E+00  0.00000E+00  0.53340E-04  0.51839E-03  0.11846E-01
 0.27586E+00 -0.38621E+00  0.00000E+00  0.81439E-04  0.50985E-03  0.11686E-01
 0.28966E+00 -0.38621E+00  0.00000E+00  0.10824E-03  0.49704E-03  0.11419E-01
 0.30345E+00 -0.38621E+00  0.00000E+00  0.13305E-03  0.48030E-03  0.11052E-01
 0.31724E+00 -0.38621E+00  0.00000E+00  0.15523E-03  0.46013E-03  0.10597E-01
 0.33103E+00 -0.38621E+00  0.00000E+00  0.17433E-03  0.43720E-03  0.10070E-01
 0.34483E+00 -0.38621E+00  0.00000E+00  0.19006E-03  0.41225E-03  0.94897E-02
 0.35862E+00 -0.38621E+00  0.00000E+00  0.20232E-03  0.38606E-03  0.88769E-02
 0.37241E+00 -0.38621E+00  0.00000E+00  0.21120E-03  0.35935E-03  0.82496E-02
 0.38621E+00 -0.38621E+00  0.00000E+00  0.21693E-03  0.33277E-03  0.76245E-02
 0.40000E+00 -0.38621E+00  0.00000E+00  0.21984E-03  0.30684E-03  0.70149E-02
 0.00000E+00 -0.37241E+00  0.00000E+00 -0.18042E-03  0.20583E-03  0.41151E-02
 0.13793E-01 -0.37241E+00  0.00000E+00 -0.18270E-03  0.22219E-03  0.44515E-02
 0.27586E-01 -0.37241E+00  0.00000E+00 -0.18402E-03  0.23948E-03  0.48087E-02
 0.41379E-01 -0.37241E+00  0.00000E+00 -0.18421E-03  0.25762E-03  0.51856E-02
 0.55172E-01 -0.37241E+00  0.00000E+00 -0.18309E-03  0.27648E-03  0.55802E-02
